Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.5127154561519622,0.834,0.36464050727784636,0.8848
2.0,0.305199477148056,0.9026,0.3290844409942627,0.8968
3.0,0.2498039199590683,0.9188,0.4687265420913696,0.8596
4.0,0.19845877457261085,0.9422,0.40839838943481444,0.8736
5.0,0.15406151666641235,0.9498,0.33104499642848967,0.8992
6.0,0.12754246225804092,0.9614,0.39000439534187314,0.9048
7.0,0.14907206606268883,0.951,0.6452513195514679,0.8516
8.0,0.09866319682598114,0.9696,0.2979197662397986,0.9264
9.0,0.08915541615635157,0.972,0.36197861840724943,0.9004
10.0,0.11897850681841374,0.96,0.2552276566684246,0.9252
11.0,0.0505223713632673,0.9818,0.3471406928539276,0.9112
12.0,0.08825264332592488,0.9734,0.2673542423225939,0.9328
13.0,0.0445939939988777,0.9848,0.5033811691761017,0.8996
14.0,0.10502938623428344,0.9662,0.3438349752560258,0.9204
15.0,0.06401988985612989,0.9804,0.308030120152561,0.916
16.0,0.06534257295206189,0.9774,0.268748081018636,0.9404
17.0,0.03479317802637816,0.9904,0.2597797322809696,0.9424
18.0,0.03578449622597545,0.9886,0.3151627566576004,0.924
19.0,0.07447255837470293,0.9756,0.4141990160822868,0.9176
20.0,0.04208291896022856,0.9852,0.288196735321224,0.9276
21.0,0.019165769206313417,0.9946,0.2507024687260389,0.9372
22.0,0.021566098032146694,0.9938,0.41973292174339294,0.9064
23.0,0.04790524606797844,0.9858,0.2701639217591379,0.9328
24.0,0.04644360786303878,0.9864,0.4337569095592946,0.9136
25.0,0.063062012353912,0.9808,0.2950257058969815,0.9292
26.0,0.06077817402072251,0.9822,0.26410931309154256,0.932
27.0,0.012253453273861669,0.9964,0.2685872524801176,0.934
28.0,0.010665838648215867,0.998,0.3803470429174602,0.9296
29.0,0.022649439729237927,0.993,0.28833776120110416,0.93
30.0,0.06385005414932966,0.982,0.34705891737788913,0.922
